product_id,sku,product_name,revenue,revenue_pct,cumulative_pct,abc_class
81,SKU-0081,Home Product 81,18496.35,0.02430203047269274,0.02430203047269274,A
98,SKU-0098,Home Product 98,16567.12,0.0217672489482929,0.04606927942098564,A
117,SKU-0117,Pet Product 117,16114.81,0.021172966757314483,0.06724224617830013,A
43,SKU-0043,Electronics Product 43,14909.789999999999,0.01958971207408216,0.0868319582523823,A
109,SKU-0109,Office Product 109,14400.96,0.018921169244528205,0.1057531274969105,A
125,SKU-0125,Beauty Product 125,13674.560000000001,0.017966765000698263,0.12371989249760876,A
82,SKU-0082,Beauty Product 82,13351.15,0.017541842263229863,0.14126173476083861,A
6,SKU-0006,Home Product 6,13076.420000000002,0.017180879325582016,0.15844261408642063,A
48,SKU-0048,Home Product 48,12867.3,0.01690612021838251,0.17534873430480313,A
61,SKU-0061,Toys Product 61,12583.64,0.01653342431006092,0.19188215861486405,A
17,SKU-0017,Office Product 17,12566.68,0.016511140862958285,0.20839329947782234,A
91,SKU-0091,Office Product 91,10534.22,0.013840727248676054,0.2222340267264984,A
79,SKU-0079,Beauty Product 79,10290.84,0.01352095452722323,0.23575498125372163,A
107,SKU-0107,Pet Product 107,10254.51,0.013473221176206791,0.2492282024299284,A
19,SKU-0019,Home Product 19,10147.39,0.013332478083421735,0.26256068051335013,A
46,SKU-0046,Kitchen Product 46,9634.61,0.01265874541801546,0.2752194259313656,A
83,SKU-0083,Pet Product 83,9390.45,0.012337947868217113,0.28755737379958274,A
128,SKU-0128,Home Product 128,9301.9,0.012221603573350451,0.2997789773729332,A
57,SKU-0057,Electronics Product 57,9060.22,0.011904064452137868,0.31168304182507106,A
22,SKU-0022,Sports Product 22,9051.28,0.01189231834263919,0.32357536016771027,A
76,SKU-0076,Pet Product 76,8977.76,0.011795721701661247,0.33537108186937153,A
123,SKU-0123,Pet Product 123,8636.24,0.011347004552221816,0.34671808642159335,A
93,SKU-0093,Office Product 93,8571.54,0.011261996354843241,0.3579800827764366,A
84,SKU-0084,Pet Product 84,8547.46,0.011230358064381475,0.3692104408408181,A
25,SKU-0025,Sports Product 25,8482.01,0.011144364455132207,0.38035480529595034,A
38,SKU-0038,Electronics Product 38,8462.73,0.011119032800642886,0.3914738380965932,A
13,SKU-0013,Beauty Product 13,8017.62,0.010534210563623136,0.40200804866021633,A
71,SKU-0071,Office Product 71,7757.0,0.01019178650796928,0.4121998351681856,A
7,SKU-0007,Electronics Product 7,7600.839999999999,0.00998661061766575,0.42218644578585135,A
96,SKU-0096,Office Product 96,7563.0,0.00993689330408298,0.43212333908993433,A
28,SKU-0028,Beauty Product 28,7402.67,0.009726238523778389,0.44184957761371274,A
73,SKU-0073,Sports Product 73,7387.29,0.009706031011016681,0.45155560862472943,A
45,SKU-0045,Home Product 45,7373.5,0.009687912571420845,0.46124352119615025,A
67,SKU-0067,Kitchen Product 67,7289.0,0.009576889500655935,0.4708204106968062,A
9,SKU-0009,Home Product 9,7261.4,0.009540626343814378,0.48036103704062055,A
75,SKU-0075,Sports Product 75,7195.120000000001,0.009453542212094875,0.48981457925271543,A
8,SKU-0008,Sports Product 8,7177.4,0.009430260214296599,0.49924483946701204,A
122,SKU-0122,Electronics Product 122,7048.87,0.009261386897309452,0.5085062263643215,A
120,SKU-0120,Sports Product 120,6868.88,0.009024901187167724,0.5175311275514892,A
63,SKU-0063,Beauty Product 63,6643.370000000001,0.008728607545887314,0.5262597350973766,A
50,SKU-0050,Kitchen Product 50,6568.12,0.008629737888194301,0.5348894729855709,A
